Character,Chinese Subtitle,English Translation
The Old Monkey,八戒，是哪一根？,"Bajie, tell me which?"
Zhu Bajie,眼，耳，鼻，舌，身，意……,"Eye, Ear, Nose, Tongue, Body, and Mind."
Zhu Bajie,意，缺意,Mind! It's Mind!
The Old Monkey,你方才看到了什么？,What did you just see?
Zhu Bajie,我们仨？,The three of us?
The Old Monkey,那就是最后一根,That was the last one.
Zhu Bajie,我懂了，是你！,"I see now, it was you!"
Zhu Bajie,我一早就猜疑，敢莫你才是大师兄的意,I knew it from the beginning! You were the Mind of Wukong all along!
Zhu Bajie,难怪一路引导我们,That's why you led us here.
The Old Monkey,不是我，是他,Not me. It's him.
Zhu Bajie,甚么鬼话，你说他是大师兄？,Don't make me laugh! Him? He is Wukong?
The Old Monkey,是，也不是,"Yes, and no."
Zhu Bajie,我说你个老猢狲，都到这儿了，还含含糊糊卖甚么关子！,"Cut to the chase, will you? We didn't come this far for your riddles!"
The Old Monkey,大圣死后，六根中有五根存留下来，被几个妖王分去,"After Wukong died, five of his six senses endured and were taken by the yaoguai kings."
The Old Monkey,唯独意，没了,Only his Mind was lost.
The Old Monkey,意为六根之首，是每个生命独一无二的本质,Mind is the first of the six. It's the essence unique to every life.
The Old Monkey,正因如此，它注定会随着生命的逝去而陨灭,"Therefore, it's destined to fade away at life's end."
Zhu Bajie,等等,Hold on.
Zhu Bajie,你说大师兄死透了，活不回来了？,"You mean Wukong's gone for good, never to return?"
Zhu Bajie,你个老东西，一直在骗我们！,You old bastard! You've been lying to us all this time!
The Old Monkey,你的大师兄，绝无可能复生了,That Wukong you knew will never return.
The Old Monkey,但他的根本，并没有消疏,But what made him remains.
The Old Monkey,天地也自会再生出一个合适的后辈,"The universe will always bear him a successor,"
The Old Monkey,把那根本连同名号，一起传下去,one who shall carry on his name and nature.
The Old Monkey,这天选的后辈，便是天命人,This chosen successor is the Destined One.
The Old Monkey,你原是无名之人,"Nameless, you were."
The Old Monkey,却在集齐六根的途中，斗了重重艰险，战了许多强者,Yet perils and mighty foes you've braved to recover his relics.
The Old Monkey,淬炼出了足以配得上那份力量的刚强意志,"Your will now stands resolute, worthy of his power."
Zhu Bajie,你是说，让这小猴子顶替我师兄？,You mean this boy is to take Wukong's name?
Zhu Bajie,他配吗！,He's not!
The Old Monkey,孙悟空，早就死了！,Sun Wukong is long gone!
The Old Monkey,八戒，你心里明白，你那师兄，从来没那么圆满,"Bajie, deep down, you know he wasn't all that perfect."
The Old Monkey,孙悟空既已不在，当接过这名号的人，或者是他,"Now that he is dead, this one, perhaps, shall bear the name in his stead."
The Old Monkey,到了，后面我们不便再送，你须独自过去,"Here, we can venture forth with you no further. This task is yours alone."
The Old Monkey,孙悟空死后，留下了一具六根全无的残破骨榇,"Sun Wukong left behind a broken shell, stripped of all his Six Senses."
The Old Monkey,纵然多年过去，那残躯仍有天然灵性，能感应自己生前的气息,"Though ages have passed, it maintains a connection, attuned to the echos of his former self."
The Old Monkey,你若真是天命所归，便去亲手将这具不生不灭无魂无魄的僵尸除去,"If you truly are the one destined, you must cast aside his soulless shell and merge the six into one."
The Old Monkey,从此六根合一，西游重续,"Then, you shall be the one to begin the journey anew."
Zhu Bajie,不成不成！,"No, not on his own!"
Zhu Bajie,他一向木木樗樗的，我不放心，我同他一齐去,He's just a kid who knows nothing. I'll go with him.
The Old Monkey,这个地方，本就是悟空死后残留的执念所化,This place is shaped by Wukong's lingering obsession.
The Old Monkey,这返本还原的最后一关，只有靠他自己,It allows only his relic-bearer to face the final ordeal.
The Old Monkey,你我帮不上忙，不信，你看,We can escort him no more. See it for yourself.
Zhu Bajie,小猴子，好侄子，打不过就跑！,"Hear me, son. You can always run!"
Zhu Bajie,悟空的名头，咱不要也罢！,"Remember, you don't have to bear Wukong's name!"
The Old Monkey,你们一定都听过关于他的故事,You must have heard tales about him.
The Old Monkey,有人说，他帮唐僧取到了真经,"Some say he helped Tang Monk fetch the Scriptures,"
The Old Monkey,封了斗战胜佛，从此留在了灵山,"was granted Buddhahood, and stayed on Mount Lingshan thereafter."
The Old Monkey,也有人说，那个成佛的根本不是他,Some say it was not him who was granted Buddhahood.
The Old Monkey,真正的他，早就死在了西行路上,The real him was already dead on the journey to the West.
The Old Monkey,还有人说，西游从来都没有发生过,Some say that the journey never happened.
The Old Monkey,他只不过是说书人杜撰的一只猴子,He is nothing but a monkey who lives in some storyteller's tall tale.
The Old Monkey,但我要讲的故事，你们一定没有听过,"But now, you will hear a tale which no one has ever known."
Maitreya,见他所见，思他所思,"In his steps, you've trod, from his eyes, you've seen."
Maitreya,你兜兜转转，又回来这里，可有悟到什么？,The circle has led you back. Have you gleaned any truths?
Maitreya,有位故人，已等你许久了,Long has an old friend waited for you.
Maitreya,机缘已到，这最后一幅画，便是答案,Destiny ripens. This last mural holds the key.
Maitreya,去罢，这个故事，没人比他看得更清楚,Go forth. No one sees this myth more clearly than him.
"Erlang, the Sacred Divinity",山上冷，吃不着什么好酒,"Shame, I must greet you in this bitter cold without a hearty drink."
"Erlang, the Sacred Divinity",千辛万苦寻到这里，想必不是来陪我解闷的,It's no easy feat getting here—I know you didn't come to keep me company.
"Erlang, the Sacred Divinity",你心里，一定有过不去的事，或者放不下的人,"In your heart, there must be something you can't get over or someone you can't let go of."
"Erlang, the Sacred Divinity",我也一样,Same goes for me.
"Erlang, the Sacred Divinity",我杀不了那只猴子，没人杀得了，除了他自己,"I can't kill that monkey. No one can, except himself."
"Erlang, the Sacred Divinity",后来我才明白，也许那是唯一的办法,"But at last, I see this is the only way."
"Erlang, the Sacred Divinity",他没得选,He had no choice.
"Erlang, the Sacred Divinity",我，也没有,And neither did I.
"Erlang, the Sacred Divinity",开！,Hyah!
"Erlang, the Sacred Divinity",小猴子，你果然有几分他的影子,"You do have some of his spark, young monkey."
"Erlang, the Sacred Divinity",既已如此，我便不再留情，得罪了！,That's it. I won't hold back from now. Let s fight!
"Erlang, the Sacred Divinity",今日不够尽兴，不如随我先回天上大醉三天，再大战三百回合,Go back with me to the sky. Let us get drunk before we continue this fight!
Erlang Shen,能把我逼到这般模样的，果然还是这只猴子,None has what it takes to push me into this but this monkey!
Erlang Shen,你不在的日子，我每天都在想你,I've been thinking of you every day since.
Erlang Shen,猴子，你还未用过，这般法相罢,Monkey! Such power must be new to you.
Erlang Shen,先与他们，操练操练,You should first spar with them awhile.
Erlang Shen,果真，是个好猴子！,A monkey of worth indeed!
Erlang Shen,既然帮你，便帮到底罢！,"As I've helped you, l shall see it through!"
Erlang Shen,太钝了，与你斗……还是这般费力损刀,Blunt it is. Our battles.... always wear down my edge.
Erlang Shen,这一把，方好陪你！,This one should suit you well!
Erlang Shen,石头，就得……,A rock must be...
Erlang Shen,硬！,Solid!
Erlang Shen,很好,Very well.
Erlang Shen,现在有十分像你了！,Now you resemble your former self perfectly!
Erlang Shen,有能耐，就在此间报仇罢！,"Then if you can, avenge him here and now!"
Erlang Shen,真个是硬,"You are hardy, truly."
"Erlang, the Sacred Divinity",是他赢了,The win is his.
"Erlang, the Sacred Divinity",我遣众兄弟一路试你，就是为了这一刻,"My brothers tested you at my behest, all for this day."
"Erlang, the Sacred Divinity",那一战后，直到今日，我才明白……,And only now do I understand that fight.
"Erlang, the Sacred Divinity",一世名，锁不住他,No prestige can shackle him.
"Erlang, the Sacred Divinity",一道箍，困不住他,No band can keep him caged.
"Erlang, the Sacred Divinity",以肉身之死，换意念永续,A mortal death for an unbound mind and will.
"Erlang, the Sacred Divinity",但愿你，不会辜负他,May you not fail him.
"Erlang, the Sacred Divinity",我心结已解，你的路，才刚开始,"I'm now at peace. Your journey, though, has just begun."
Maitreya,若他能从那幅画中出来，这天命又该作何说法？,"Say, what's to come of destiny, if he steps out of that mural?"
Yuan Shoucheng,我不过是个卖卦之人，卦象如何，天命便如何,I make a living by reading what was written; the signs alone tell what's to come.
Maitreya,未来之所以是未来，在于未定,What's to come is what's not yet written.
Maitreya,未定之事，天也难算,No one can read what's not written.
Yuan Shoucheng,天命，即因果,Destiny is written—in what's done.
Yuan Shoucheng,前因既定，谁也逃不脱后果,What's done shapes what's to come. None escape.
Yuan Shoucheng,我算不出来，无非前因知道得还不够多,It's all written for me—if only l uncover all that occurred.
Maitreya,诶，这世上竟有先生算不出来的事情,So there really is something even you cannot read.
Maitreya,好事，好事！,"That's good, very good!"
"Erlang, the Sacred Divinity",成了佛又如何,What does it matter if you become a Buddhha?
"Erlang, the Sacred Divinity",那道箍，一直都在你头上,That headband has always been on your head.
Sun Wukong,睁开你的狗眼，我这就摘下来给你看！,Keep those eyes wide open. Watch me rip it off and break free!
Buddha,孙悟空，汝因大闹天宫,"Sun Wukong, when you defied the Celestial Court,"
Buddha,吾以甚深法力，压在五行山下,I had to seal you beneath the mountains with my dharma.
Buddha,幸天灾满足，归于释教,"Yet, after enduring punishment, you embraced the dharma,"
Buddha,且喜汝隐恶扬善，在途中炼魔降怪有功，全终全始,"uplifted good against evil, and subdued yaoguais throughout the journey."
Buddha,加升大职正果，汝为斗战胜佛,"For your contribution, now I bestow upon you the title of Victorious Fighting Buddha."
Voiceover,那厮触犯了上天，玉帝立此三事,"He defied the Celestial Court, and the Jade Emperor imposed three ordeals."
Voiceover,只等鸡嗛了米尽，狗舔得面尽，灯燎断锁梃,"Only when the chicken finishes pecking the rice, the dog laps up the flours, and the lamp burns through the key...."
Voiceover,那方才该下雨哩,The rain will fall.
Sun Wukong,哥哥们，饮了这杯，我们一起打上凌霄宝殿！,"Bottoms up, brothers! One final toast before we crash the Celestial Palace!"
Yuan Shoucheng,久在樊笼里，复得返自然,"""Long bound by worldly cage, now free in nature's sage."""
Yuan Shoucheng,路上可曾见到那些无主的孤魂？,Have you seen those nameless souls adrift on your path?
Yuan Shoucheng,灵蕴不散，浮于空中,"Their wills float aloft, never to fade."
Yuan Shoucheng,可惜你的葫芦不中用，我这葫芦又认主,"Shame, your gourd serves little purpose, and mine answers solely to me."
Yuan Shoucheng,我有一法，可超度孤魂，归全反真，于你必有帮助,"I know a way to guide the souls, mend their paths, and set them free. It will aid you."
Yuan Shoucheng,这才像样，不能装天却可度人，荡去痴念，早入轮回,"Now, this is better. This gourd, though humble, may save the lost, banish their obsessions, and guide them."
Yuan Shoucheng,既承天命，自是无法回头,"For one as destined as you, there can be no turning back."
Yuan Shoucheng,你我无非都是这茫茫天地间的蓬草，能往何处去呢？,"We are like tumbleweeds, drifting through life, with a destiny beyond our grasp."
Yuan Shoucheng,盛景易朽，以笔存之,"Fair sights fade. But with ink, I bid them stay. "
Yuan Shoucheng,你已在路上，又如何能停下脚步,The road has claimed you. Now you must see it through.
Yuan Shoucheng,只管任性向前，你我还会再见,Your heart will guide you further. We shall meet again.
Yuan Shoucheng,世人都晓神仙好，惟有功名忘不了,"Their minds yearn to ascend, yet fame still holds sway."
Yuan Shoucheng,古今将相在何方，荒冢一堆草没了,"Their glory fades through time, in tombs of somber gray."
Yuan Shoucheng,分散逐风转，此已非常身,"""Hurled by gales, to and fro, changed from our former glow."""
Yuan Shoucheng,我呀，算准你会来到这里,The signs told me you would come here.
Yuan Shoucheng,天命便是如此，一步一步，有缘有故,Such is destiny. What's done is one step before what's to come.
Yuan Shoucheng,此间藏一珍宝，乃当年泾河老龙王被斩时脱落人间的鳞片，他人无法得见,It houses a treasure that none other can see—a scale shed by the old Loong King of Jing River upon his beheading.
Yuan Shoucheng,小友可否在这黄风岭见过？,"Have you seen it in this ridge, young friend?"
Yuan Shoucheng,当年泾河龙王违抗天命，王帝震怒欲行连坐之罪,"When the Loong King defied the Court, the jade Emperor was set to punish his entire house."
Yuan Shoucheng,吓得那四渎龙神躲藏了起来,"The four sons of the Loong King, deities of the four waters, fled."
Yuan Shoucheng,神仙？神仙又有何异？,Deities? Not even they have control over their destinies.
Yuan Shoucheng,只要染了因果，不过都是盘中餐，池中物,"Once caught in the threads of karma, all are mere offerings on the platter."
Yuan Shoucheng,江河淮济，四渎龙神，生死已定，你我皆然,"Four loongs for the four waters under the sky. Their destiny is sealed, as yours and mine."
Yuan Shoucheng,巧了巧了，天寒遇故友，夫复何求,"Well, well! Refreshing winds and an old friend. I couldn't be happier"
Yuan Shoucheng,来来来，一齐赏雪吟诗,Join me. Snow is the best soil for poetry.
Yuan Shoucheng,唉，看来这茶今天是喝不成,"Well, so much for a quite cup of tea today."
Yuan Shoucheng,莫急，猴兄弟,"Hold it, my friend!"
Yuan Shoucheng,来，先坐下,Sit with me awhile.
Yuan Shoucheng,那怪黑毛赤尻，面相奸顽，可不好捉  ,"Dark furred, devious-natured. Hunting that guai is no simple task."
Yuan Shoucheng,你虽有些粗浅修为，但这极北之地天寒地冻,"You do have some skills, but this land bites with cold."
Yuan Shoucheng,胡乱轻造，性命难保,Lack of readiness could be your undoing.
Yuan Shoucheng,今日既有缘再见，我便教给你一招防身御寒的小神通,"Our reunion is destined, and so is my role to teach you this little trick."
Yuan Shoucheng,我非一般人，此非一般火,"I am extraordinary, as is my flame."
Yuan Shoucheng,以后无论伤了累了冷了，就用棒子在地上画个圈儿,"it shall help you in need, be it injury, weariness or frostbite."
Yuan Shoucheng,凭他甚么虎豹狼虫，妖魔鬼怪，俱莫敢近,"Beasts or yaoguais, none shall dare to draw nigh."
Yuan Shoucheng,但识琴中趣，何劳弦上音,"""Knowing the joy within the play, why chase the notes astray?"""
Yuan Shoucheng,情啊爱啊，不过是白云苍狗，终归都会结满蛛网，重归虚无,"Love and passion are as fleeting as the clouds. In the end, they leave nothing but cobwebs and dust."
Yuan Shoucheng,猴兄弟，破镜难重圆,"A broken mirror cannot be made whole again, my friend."
Yuan Shoucheng,你有空劝劝那位猪长老，可别陷得太深,"Tell Master Pig if you will, that attachments are not to be dwelt upon."
Yuan Shoucheng,本是女中仙，思凡堕九天,"Immortal once, from above. For love, she strayed."
Yuan Shoucheng,作茧缚洞中，人间又一年,"In her webbed prison, through mortal years, she stayed."
Yuan Shoucheng,何以称我情，浊酒且自陶,"""What comfort does this heart implore? A humble drink, its solace I adore."""
Yuan Shoucheng,好酒当配好器,A fine brew deserves a fitting gourd.
Yuan Shoucheng,这个，拿去！,"Here, take this!"
Yuan Shoucheng,牛魔王认了命，可是有人不想认,"The Bull King accepted his destiny, but there are others who refuse to do the same."
Yuan Shoucheng,清官难断家事，你我何必沾手,Family strife confounds even the wisest. Why should we meddle?
Yuan Shoucheng,喝上一壶好酒，忘绝烦恼忧愁,"With a full gourd's draft by my side, let cares drift away into the tide."
Yuan Shoucheng,无有因，头悬市曹何故？,"For what deed, must his head be hung for all to see?"
Yuan Shoucheng,无有因，四渎失管何故？,"For what deed, must the waters they governed roam free?"
Yuan Shoucheng,无有因，诸色惘惘何故？,"For what deed, must all matters not know how to be?"
Yuan Shoucheng,无有因，慈悲颠倒何故？,"For what deed, must mercy's hand sow woe upon thee?"
Yuan Shoucheng,无有因，林隐赤髯何故？,"For what deed, must the red one into the woods flee?"
Yuan Shoucheng,是曰：木生炉烟，雾长雷电，击背而歌，真意自现,"Smoke rises high, from wood afire. Hit the back, let the beats respire, as in mist, thunders conspire."
Yuan Shoucheng,无有因，砂掩骊鬓何故？,"For what deed, must from streams into sands thou flee?"
Yuan Shoucheng,是曰：声振波浑，滩余旧痕，藏战于守，巧便为门,"Resonant waves profound, pulsing through the ground. Evade their might unbound, and victory is surely found."
Yuan Shoucheng,无有因，岸伏青背何故？,"For what deed, must the cyan one onto the shores flee?"
Yuan Shoucheng,是曰：夕照剑辙，万象澄澈，电光朝露，聚散离合,"Evening light on snow, paths clear below. Lightning strikes in flow; all happens before you know."
Yuan Shoucheng,无有因，庙潜黄衣何故？,"For what deed, must the yellow one to the shrines flee?"
Yuan Shoucheng,是曰：细碎沾衣，萦空堕地，犁然寡欲，心动神疲,"In the air they swing, to the earth they bring. With snowflakes cling, spirit may wear thin."
Yellow Loong,算卦的袁先生料事如神，但他一定不会料到……,"For all his foresight, Yuan the Signteller could never have known that..."
Yellow Loong,我化为纹饰，藏于他身……,I've hidden upon his garb as a pattern.
Yellow Loong,先父为成全取经而死，我等无一日不想为先父报仇,"Our sire gave his life to pave the way for the journey, and not a day passes that we do not yearn to avenge him."
Yellow Loong,却无一日不是流离失所，无家可归,"Yet every day we find ourselves adrift, without a home to call our own."
Yellow Loong,没了你，便能了却因果,I'll kill you to unbind our destinies.
Yellow Loong,先父违抗王帝旨意，头悬市曹,Our sire's head was hung when he defied the Celestial Court.
Yellow Loong,我等恐玉帝见罪，拜求袁先生搭救，逃离四渎,We dreaded the Jade Emperor's wrath and pleaded with Master Yuan to help us abscond from our waters.
Yellow Loong,可袁先生说，躲得了一时，躲不了一世,"But he warned us: we might hide for a time, but not forever."
Yellow Loong,终归会有人来取我们的性命,"In the end, someone will come to claim our lives."
Yellow Loong,先生还说，舍身成仁，便是我族世世代代的天命,"He had more to say: Sires to sons, we are destined to die for the righteous cause."
Yellow Loong,我信，但我不认,"I trust him, yet I won't obey."
Yellow Loong,但愿你的命，不是再为这老天作嫁衣,"May your path not, once more, be a mere thread in their grand design."
Yuan Shoucheng,你那三个兄弟，皆已诛服,All three of your brothers have been claimed.
Yuan Shoucheng,不去相会，更待何时？,"If not now, when will you reunite?"
Yuan Shoucheng,缘落缘起，不妨再赌一把……,"Destiny repeats itself, always. Why not cast the die once more?"
Ma Tianba,这可如何是好，如何是好啊,What should I do? I'm caught in a tight spot.
Ma Tianba,过来，别怕，你马哥出身高门大户，不会轻易吃人,"Come closer, and fear not. Noble blood doesn't prey on travelers like you."
Ma Tianba,阁下一看就不是这里的妖怪，莫非也是来拜那黑风大王的？,You don't look like a yaoguai from these parts. Have you come to earn the Black Wind King's favor?
Ma Tianba,听我一言，这黑熊外强中干，靠不住的,Hear me. That bear is but a hollow shell. He can grant you nothing.
Ma Tianba,你还是趁早离了此处才好,Don't waste your time on him.
Ma Tianba,起死复生，金银财宝，都是唬人的，那些个小妖都被骗啦,"He lies about cheating death and even the treasures. His followers are, all of them, deceived."
Ma Tianba,黑风怪好弄把戏，嘴上修真养性，肚里贪婪欺心，我所求之事不敢托付,Black Wind Guai is a sly one. He preaches virtue with a heart full of greed. I wouldn't entrust him with my plan.
Ma Tianba,虽不知阁下为何来此，但定要多加小心,"I do not know why you are here, but you should be vigilant."
Ma Tianba,我此刻心急如焚，需即刻启程，就此别过,"Now, I'm pressed for time. Fare thee well, then."
Ma Tianba,鼠爷爷们，我真是来见你们家大王的！,"Good sirs, I just want a word with your king"
Ma Tianba,错怪了，错怪了！我是来拜见你们大王的！,"This is a mistake. A mistake! With my respect, I quest an audience with your King!"
Ma Tianba,阁下怎会在此？,What brought you here?
Ma Tianba,快走！快走！不用你救！,Go. Leave! I don't need your help!
Ma Tianba,阁下与我十分有缘，黑风山一别，竟还能在黄风岭相见,"Fate binds us, sir. From the Black Wind Mountain to here, we meet again."
Ma Tianba,这帮鼠辈不分好歹，径直将我绑了,Those rats... They tied me up on sight for no reason.
Ma Tianba,打诨说送去什么卧虎寺，腌好了送与大王,Joking they'd prepare me for their king's table!
Ma Tianba,这里的妖怪皆是饿鬼,This place crawls with yaoguais eager for a bite.
Ma Tianba,不过阁下放心，想吃你马哥，没那么容易,"But don't worry. If they bite into me, they'll bite more than they can chew."
Ma Tianba,这黄风岭猫鼠同眠，乱作一团,This place is a jumble of rats and cats—all at each other's throats.
Ma Tianba,黄风大圣却不闻不问，怪哉，怪哉！,And the Yellow Wind Sage keeps silent. How odd!
Ma Tianba,这样的大王谁敢投拜？,Who would swear fealty to such a king?
Ma Tianba,我奉劝阁下，赶紧逃命，此地不宜久留,Best make haste and go. Never linger in a peril such as this.
Ma Tianba,你放心去便是，小小鼠妖，能奈我何？,Just leave. These rats are no match for me.
Ma Tianba,我自有法子逃生,I can make my own way out.
Ma Tianba,你形骸虽瘦，遇上这群饿鬼，也饶不过你,"You are a skinny one, but these rats aren't picky eaters."
Ma Tianba,还是快些逃罢,"Flee, the quicker the better."
Ma Tianba,我大事未了，自会趁机逃生,I won't die here with my task undone.
Ma Tianba,此地人多眼杂，有缘定会再见,There are too many eyes around here. We'll meet again if fate wills it.
Ma Tianba,老友！,My friend!
Ma Tianba,先前在黄风岭一无所获，不得已，只好来求黄眉老佛,Yellow Wind Ridge offered me nothing. Yellowbrow the Buddha was my next plea.
Ma Tianba,来到这小西天拜过了佛爷爷才知，我这一生为他人虚度，少了许多快乐,Only after meeting His Grace in The New West did l see - I wasted my life for others and missed much joy.
Ma Tianba,不走了……,No more journey now...
Ma Tianba,虽说家中大王遭难，可世间福祸不皆是自取？,"My king is suffering, yes. But does one hot weave the threads of one's destiny?"
Ma Tianba,为己活，才自在,Peace is living for yourself.
Ma Tianba,佛爷爷说得对，纵情恣欲，无忧无虑,"His Grace speaks true. Indulge, and you shall be carefree."
Ma Tianba,我……我从没像现在这般快活,"This joy... It's new to me, like never before."
Ma Tianba,想当年，我家大王也曾在佛地修行，连他的孩子也是菩萨的弟子哩,"My king once sought wisdom in such a dharma place. His son, too, was a disciple of a Bodhisattva."
Ma Tianba,如今我皈依佛门，也算是追随大王,Now I too walk on this path. I hope I'm following in my king's steps.
Ma Tianba,我劝老友，就留在此地，你我做个同门可好？,"Say, my friend, why don't you stay here and tread this path with me."
Ma Tianba,可怕！可怕！,Grim and dire is this land!
Ma Tianba,从小西天辗转来到盘丝岭，欲求见百目真人,I came here from the New West for the wisdom of the Hundred-Eyed One.
Ma Tianba,谁知他闭观不见，还把我捉进洞来,But he shut his doors and made me prisoner in this lair.
Ma Tianba,我听说那蜘蛛精大多如狼似虎，可能正需我这般精壮汉子补补元气,Tales speak of these insatiable spider guais. They could use a strong male like me to consume and practice.
Ma Tianba,今日多亏猴兄弟！,"Much I owe you today, my friend!"
Ma Tianba,若非你一路相救，我怕是回不成火焰山了,"Without your help along the way, I would see no more of the Flaming Mountains."
Ma Tianba,猴兄弟可曾听过天命人？,"Ever heard tell of a Destined One, my friend?"
Ma Tianba,说是有位天命人一路打杀，誓要救活孙大圣！,They say he marches and fights on a quest to bring back the Great Sage!
Ma Tianba,我家大王与孙大圣曾是结拜兄弟,The Great Sage and my king once swore brotherhood.
Ma Tianba,大圣陨落后，大王好似变了个人，将我等遣散,"After the Sage fell, the king dismissed every one of us. He became someone not himself."
Ma Tianba,那天命人若真能救活孙大圣，在下也愿助其一臂之力！,"If the Destined One is really the one who can bring back the Sage, he can count on my humble support!"
Ma Tianba,这一路来我到处求人，虽计穷力竭，一无所获，却也想通了,"My plea for aid was met only with silence along this path. But in turn, I've seen through it all."
Ma Tianba,猴兄弟，我已做好打算，求人不如求已,"My mind is made, friend. I shall rely on none but myself."
Ma Tianba,他们不救，我自己去救！,"If none shall aid, I will act on my own!"
Ma Tianba,他日若能在火焰山相逢，定与你饮酒欢会,"Should our paths cross at the Flaming Mountains, we'll toast to our reunion."
Ma Tianba,万万保重,"Now, take great care."
Ma Tianba,住手！,Don't!
Ma Tianba,死便死了，只求死得竭绝,"In death, I desire but a complete and final cessation."
Ma Tianba,能挡住这鬼车，也算值当,My life for the cart's demise. I deem it worthy.
Ma Tianba,若不能救我脱身于阴诡之术，就走罢,"If you can't free me from his evil, you should walk away."
Ma Tianba,生者死之根，死者生之根,"""From death roots life, and from life, death."""
Ma Tianba,我是错信了那妖仙,I should have discerned his malice.
Ma Tianba,既已好言相告，就此别过罢！,"Since I have bid farewell with kind words, you should depart now."
Ma Tianba,我只求死后安宁，不愿做浑噩之鬼，走！,My body has been exploited. I beg you to leave my soul in peace. Go!
Ma Tianba,此刻你强取此鞭，我必魂飞魄散，万万不可,"Take the whip now, and my soul shall scatter. I implore you to stop."
Ma Tianba,苦海无边，唯有放下……,Life has too much agony. I should let go...
Ma Tianba,你不去超度那至阴之躯，我亦无法解脱,I cannot rest in peace before my body is freed from darkness.
Ma Tianba,妖仙已除，我心安矣,I can rest in peace now...
Ma Tianba,这一路，没承想，终是做了鬼……,Never thought I'd die before I'd finished my task...
Ma Tianba,你速速前来，此魂此魄，不久矣,Come forth now as my soul's about to vanish...
Ma Tianba,一念尚存，为的便是等你,It has lingered for you for too long.
Ma Tianba,取走罢！,It's yours now.
Ma Tianba,生死茫茫，大梦一场……,"My journey of life, a fleeting dream..."
The Old Monkey,千重水，万重山，过了黑风第一关,"Across streams, over hills, and through the black wind, your blood has spilled."
The Old Monkey,洪钟响，狼蛇藏，烈火熊熊双目盲,"Wolves howl, snakes wind, flames lick, and the smoke blinds."
The Old Monkey,小妖打得费劲，大怪更是仓皇,"Stumble on the lesser, lame; crash before their betters, shame."
The Old Monkey,如此笨拙痴蠢，如何见得真章？,"With such clumsiness, what destiny do you claim?"
The Old Monkey,螳螂捕蝉，黄雀在后,"As the small fish catches its prey, the bigger lurks behind."
The Old Monkey,黄雀是谁，我看不到,Who is the bigger fish? I can't see it.
The Old Monkey,蝉与螳螂……,As for the prey and the small fish...
The Old Monkey,倒是遍地乱跑,They are swimming everywhere.
The Old Monkey,那和尚乃金蝉子转生，是西方如来佛祖座下第二个徒弟,"In his last life, the monk was Jinchanzi, the second disciple to Buddha in the West."
The Old Monkey,因听经不专，轻慢佛法，被如来贬落凡尘,"Yet, his arrogance led him to disregard the dharma teachings, and as a result, the Buddha cast him down to the mortal realm."
The Old Monkey,夜被火烧是他取经之路的第十一难，后面还有七十难呐……,He was destined to face eighty-one trials throughout his journey. The fire for that kasaya was merely the eleventh.
The Old Monkey,一介凡夫，二百七十岁还不知足，偏要图那一件袈裟,"A mere human blessed with a lifespan nearing three centuries, yet he was never sated. He just had to seize that one kasaya."
The Old Monkey,参禅百年，不敌贪心一瞬,"Centuries of devotion, undone by a moment's greed."
The Old Monkey,到头来，成了个孤魂野鬼，可悲可悲,"In the end, a lost soul became him. How pathetic."
The Old Monkey,好好的守山大神不做，又跑回黑风山做长生的美梦,"A fine guardian for Guanyin he could have been, yet he came back here to daydream immortality."
The Old Monkey,可惜空有贼心，却无贼胆,"Sadly he had the greed, but lacked the pluck."
The Old Monkey,骗得了小妖，骗不过自己,"He could fool his followers, but not himself."
The Old Monkey,他的命，自带上禁箍之时便已注定,His destiny was sealed the moment he donned that band.
The Old Monkey,要说地上什么神仙最多，那便是土地了,"Which deities do most abound upon the earth? The Keepers, surely."
The Old Monkey,官职虽小，人间的事却无所不晓,"Though humble in rank, nothing in the mortal world escapes their eyes."
The Old Monkey,可别怠慢喽，谁知他们背后，又是哪位高人？,"You'd be wise not to spurn their kind, for who knows what powers stand behind them."
The Old Monkey,你风沙里走了这一遭，可曾寻到天尽头的古国？,"With the wind and sand you've endured here, did you reach the forgotten kingdom at the end of the land?"
The Old Monkey,又可曾撞上虎伥坠崖，石头打架？,Did you find the clash of stones and the fall of Tiger's Acolyte?
The Old Monkey,只怕你聋了耳又乱了心,"If you shut your ears and heed only your inner murmur,"
The Old Monkey,越是贪图完满，越是搜不干净,"I fear, the more you yearn for flawless endings, the further you'll stray from the path."
The Old Monkey,鼠与虎，都一样，没天命又不认命,"Rats and cats. Neither grasped their destiny, and yet neither admitted it."
The Old Monkey,小猴子你听，那风里传来的，都是求而不得的声音,"Listen closely, young one, their complaints ride upon the wind."
The Old Monkey,救也救过，罚也罚过,"Spared him, punished him."
The Old Monkey,躲也躲过，藏也藏过,"Avoided him, eluded him."
The Old Monkey,先天一箪食，后天一把灰,"Master's grace taught, deciple's plot sought."
The Old Monkey,八爪金龙又如何，动了凡心，菩萨也要吃亏,His Golden Loong Staff meant nothing once mortal compassions took root. Bodhisattvas too could fall in this way.
The Old Monkey,盘古至今曾见风，不似这风来不善,"""No wind wrought such destruction ere, the Samadhi Wind brought only malice here."""
The Old Monkey,那场风，乱了金刚，惊了罗汉 ,"Vajras and Arhats, before the Yellow Wind shivered."
